LATITUDE,LONGITUDE,SAMPLE_TIME_UTC,TAXON_NAME,CELLS_L,PROJECT_ID
-15.80783333,121.76975,17/04/2010 12:21,Guinardia flaccida,188.6792453,1050
-15.80783333,121.76975,17/04/2010 12:21,Dactyliosolen fragillissimus,660.3773585,1050
-15.80783333,121.76975,17/04/2010 12:21,Gossleriella tropica,18.86792453,1050
-15.80783333,121.76975,17/04/2010 12:21,Guinardia cylindrus,943.3962264,1050
-15.80783333,121.76975,17/04/2010 12:21,Leptocylindrus danicus,849.0566038,1050
-15.80783333,121.76975,17/04/2010 12:21,Guinardia striata,377.3584906,1050
-15.80783333,121.76975,17/04/2010 12:21,Guinardia delicatula,283.0188679,1050
-14.93498333,121.76975,16/04/2010 12:02,Leptocylindrus danicus,25.88996764,1050
-14.51498333,122.5993333,22/04/2010 14:57,Leptocylindrus danicus,981.3084112,1050
-14.51498333,122.5993333,22/04/2010 14:57,Chaetoceros curvisetus,883.1775701,1050
-14.51498333,122.5993333,22/04/2010 14:57,Dinophysis miles,49.06542056,1050
-14.51498333,122.5993333,22/04/2010 14:57,Guinardia striata,196.2616822,1050
-15.80783333,122.5993333,17/04/2010 12:21,Leptocylindrus danicus,537.7358491,1050
-15.80783333,122.5993333,17/04/2010 12:21,Leptocylindrus minimus,134.4339623,1050
-14.51498333,121.3392167,22/04/2010 14:57,Leptocylindrus mediterraneus,271.3920817,1050
-14.51498333,121.3392167,22/04/2010 14:57,Proboscia alata,108.5568327,1050
-14.51498333,121.3392167,22/04/2010 14:57,Dactyliosolen fragillissimus,298.5312899,1050
-14.51498333,121.3392167,22/04/2010 14:57,Leptocylindrus danicus,189.9744572,1050
-14.51498333,121.3392167,22/04/2010 14:57,Guinardia striata,108.5568327,1050
-14.93338333,121.3246667,23/04/2010 10:47,Leptocylindrus mediterraneus,38.31417625,1050
-14.93338333,121.3246667,23/04/2010 10:47,Proboscia alata,38.31417625,1050
-14.93338333,121.3246667,23/04/2010 10:47,Leptocylindrus danicus,229.8850575,1050
-14.51498333,121.3246667,22/04/2010 14:57,Dactyliosolen fragillissimus,1961.956522,1050
-14.51498333,121.3246667,22/04/2010 14:57,Leptocylindrus minimus,3510.869565,1050
-43.2136,147.0067,18/06/1998 2:00,Pseudo-nitzschia pseudodelicatissima,1,1051
-43.2136,147.0067,18/06/1998 2:00,Chaetoceros cf. decipiens,1,1051
-43.2136,147.0067,18/06/1998 2:00,Tripos muelleri,2,1051
-43.2136,147.0067,18/06/1998 2:00,Polykrikos schwarzii,2,1051
-43.2136,147.0067,18/06/1998 2:00,Tripos furca,2,1051
-43.2136,147.0067,18/06/1998 2:00,Guinardia striata,1,1051
-43.2136,147.0067,18/06/1998 2:00,Tripos fusus,2,1051
-43.2136,147.0067,18/06/1998 2:01,Pseudo-nitzschia pseudodelicatissima,3857,1051
-43.2136,147.0067,18/06/1998 2:01,Gymnodinium catenatum,5237,1051
-43.203,147.018,18/06/1998 0:53,Pseudo-nitzschia pseudodelicatissima,25544,1051
-15.80783333,121.7698167,25/04/2010 12:51,Leptocylindrus mediterraneus,90.47619048,1050
-15.80783333,121.7698167,25/04/2010 12:51,Proboscia alata,45.23809524,1050
-15.80783333,121.7698167,25/04/2010 12:51,Gossleriella tropica,45.23809524,1050
-15.80783333,121.7698167,25/04/2010 12:51,Guinardia striata,45.23809524,1050
-14.93338333,121.7698167,23/04/2010 10:47,Leptocylindrus mediterraneus,89.10891089,1050
-14.93338333,121.7698167,23/04/2010 10:47,Proboscia alata,44.55445545,1050
-14.93338333,121.7698167,23/04/2010 10:47,Leptocylindrus danicus,267.3267327,1050
-14.93338333,121.7698167,23/04/2010 10:47,Navicula septentrionalis,44.55445545,1050
-14.93338333,121.7698167,23/04/2010 10:47,Guinardia delicatula,178.2178218,1050
-15.80783333,122.6039333,17/04/2010 12:21,Leptocylindrus mediterraneus,127.3584906,1050
-15.80783333,122.6039333,17/04/2010 12:21,Dactyliosolen fragillissimus,84.90566038,1050
-15.80783333,122.6039333,17/04/2010 12:21,Leptocylindrus danicus,297.1698113,1050
-15.80783333,122.6039333,17/04/2010 12:21,Leptocylindrus minimus,127.3584906,1050
-15.80783333,122.6039333,17/04/2010 12:21,Navicula septentrionalis,849.0566038,1050
-15.80783333,122.6039333,17/04/2010 12:21,Tripos furca,84.90566038,1050
-14.93498333,122.6039333,16/04/2010 12:02,Dactyliosolen fragillissimus,138.3495146,1050
-14.93498333,122.6039333,16/04/2010 12:02,Leptocylindrus danicus,1106.796117,1050
-14.93498333,122.6039333,16/04/2010 12:02,Navicula septentrionalis,415.0485437,1050
-14.93498333,122.6039333,16/04/2010 12:02,Prorocentrum micans,46.11650485,1050
-14.93498333,122.6039333,16/04/2010 12:02,Tripos furca,46.11650485,1050
-43.2689,147.082,17/06/1998 23:41,Pseudo-nitzschia pseudodelicatissima,5401,1051
-43.2689,147.082,17/06/1998 23:41,Ditylum brightwellii,1,1051
-43.2689,147.082,17/06/1998 23:41,Tripos muelleri,2,1051
-43.2689,147.082,17/06/1998 23:41,Gymnodinium catenatum,7706,1051
-43.2689,147.082,17/06/1998 23:41,Polykrikos schwarzii,2,1051
-43.2689,147.082,17/06/1998 23:41,Tripos furca,2,1051
-43.1832,146.9815,18/06/1998 1:40,Tripos muelleri,2,1051
