LATITUDE,LONGITUDE,SAMPLE_TIME_UTC,FUNCTIONAL_GROUP,TAXON_NAME,ABUNDANCE_M3,PROJECTNUMBER
-12,137,1975-08-01T00:00:00Z,Calanoid,Undinula vulgaris,2.3,1
-12,137,1975-08-01T00:00:00Z,Calanoid,Temora discaudata,0.6,1
-12,137,1975-08-01T00:00:00Z,Poecilostomatoida,Onychocorycaeus catus,3.4,1
-12,137,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus dahli,6.3,1
-12,137,1975-08-01T00:00:00Z,Calanoid,Clausocalanus furcatus,29.4,1
-12,137,1975-08-01T00:00:00Z,Calanoid,Clausocalanus minor,5.6,1
-12,137,1975-08-01T00:00:00Z,Harpacticoid,Clytemnestra scutellata,5.7,1
-12,137,1975-08-01T00:00:00Z,Poecilostomatoida,Copilia mirabilis,0.6,1
-12,137,1975-08-01T00:00:00Z,Poecilostomatoida,Onychocorycaeus agilis,1.1,1
-12,137,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus andrewsi,1.7,1
-12,137,1975-08-01T00:00:00Z,Calanoid,Calocalanus pavo,1.7,1
-12,137,1975-08-01T00:00:00Z,Calanoid,Calocalanus plumulosus,0.6,1
-12,137,1975-08-01T00:00:00Z,Calanoid,Candacia catula,1.1,1
-12,137,1975-08-01T00:00:00Z,Calanoid,Candacia discaudata,0.6,1
-12,137,1975-08-01T00:00:00Z,Calanoid,Acartia (Odontacartia) amboinensis,1.1,1
-12,137,1975-08-01T00:00:00Z,Calanoid,Acrocalanus gracilis,2.8,1
-12,137,1975-08-01T00:00:00Z,Calanoid,Acrocalanus longicornis,25.2,1
-12,137,1975-08-01T00:00:00Z,Calanoid,Brachycalanus rothlisbergi,0.6,1
-12,137,1975-08-01T00:00:00Z,Poecilostomatoida,Oncaea media complex,28.8,1
-12,137,1975-08-01T00:00:00Z,Calanoid,Paracalanus aculeatus,58.9,1
-12,137,1975-08-01T00:00:00Z,Calanoid,Paracalanus denudatus,13.1,1
-12,137,1975-08-01T00:00:00Z,Harpacticoid,Microsetella rosea,5.1,1
-12,137,1975-08-01T00:00:00Z,Cyclopoid,Oithona attenuata typical,6.7,1
-12,137,1975-08-01T00:00:00Z,Poecilostomatoida,Oncaea clevei complex,35.5,1
-12,137,1975-08-01T00:00:00Z,Calanoid,Labidocera minuta,1.1,1
-12,137,1975-08-01T00:00:00Z,Harpacticoid,Macrosetella gracilis,16.6,1
-12,137,1975-08-01T00:00:00Z,Poecilostomatoida,Onychocorycaeus pacificus,1.7,1
-12,137,1975-08-01T00:00:00Z,Poecilostomatoida,Corycaeus speciosus,1.1,1
-12,137,1975-08-01T00:00:00Z,Calanoid,Subeucalanus crassus,10.3,1
-12,137,1975-08-01T00:00:00Z,Calanoid,Subeucalanus subcrassus,7.5,1
-12,137,1975-08-01T00:00:00Z,Harpacticoid,Euterpina acutifrons,57.7,1
-12,138,1975-08-01T00:00:00Z,Poecilostomatoida,Sapphirina nigromaculata,0.6,1
-12,138,1975-08-01T00:00:00Z,Poecilostomatoida,Sapphirina opalina,0.6,1
-12,138,1975-08-01T00:00:00Z,Calanoid,Temora discaudata,16.6,1
-12,138,1975-08-01T00:00:00Z,Calanoid,Temora turbinata,1.1,1
-12,138,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus erythraeus,4.6,1
-12,138,1975-08-01T00:00:00Z,Calanoid,Centropages furcatus,16,1
-12,138,1975-08-01T00:00:00Z,Calanoid,Clausocalanus furcatus,1.7,1
-12,138,1975-08-01T00:00:00Z,Harpacticoid,Clytemnestra scutellata,1.7,1
-12,138,1975-08-01T00:00:00Z,Poecilostomatoida,Copilia mirabilis,1.1,1
-12,138,1975-08-01T00:00:00Z,Poecilostomatoida,Onychocorycaeus agilis,1.6,1
-12,138,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus andrewsi,6.3,1
-12,138,1975-08-01T00:00:00Z,Calanoid,Calocalanus pavo,2.9,1
-12,138,1975-08-01T00:00:00Z,Calanoid,Candacia catula,0.6,1
-12,138,1975-08-01T00:00:00Z,Calanoid,Canthocalanus pauper,10.9,1
-12,138,1975-08-01T00:00:00Z,Calanoid,Acartia (Odontacartia) amboinensis,0.6,1
-12,138,1975-08-01T00:00:00Z,Calanoid,Acrocalanus gibber,5.7,1
-12,138,1975-08-01T00:00:00Z,Poecilostomatoida,Oncaea media complex,3,1
-12,138,1975-08-01T00:00:00Z,Poecilostomatoida,Oncaea venusta complex,2.3,1
-12,138,1975-08-01T00:00:00Z,Calanoid,Paracalanus aculeatus,28.6,1
-12,138,1975-08-01T00:00:00Z,Calanoid,Paracalanus denudatus,4.6,1
-12,138,1975-08-01T00:00:00Z,Cyclopoid,Oithona plumifera,47.9,1
-12,138,1975-08-01T00:00:00Z,Poecilostomatoida,Oncaea clevei complex,18.7,1
-12,138,1975-08-01T00:00:00Z,Poecilostomatoida,Farranula concinna,2.3,1
-12,138,1975-08-01T00:00:00Z,Poecilostomatoida,Farranula gibbula,4.6,1
-12,138,1975-08-01T00:00:00Z,Calanoid,Labidocera minuta,4.6,1
-12,138,1975-08-01T00:00:00Z,Poecilostomatoida,Onychocorycaeus pacificus,0.6,1
-12,138,1975-08-01T00:00:00Z,Poecilostomatoida,Corycaeus sewelli (invalid),2.3,1
-12,138,1975-08-01T00:00:00Z,Calanoid,Subeucalanus subcrassus,1.7,1
-12,138,1975-08-01T00:00:00Z,Harpacticoid,Euterpina acutifrons,9.7,1
-12,139,1975-08-01T00:00:00Z,Calanoid,Scolecithricella orientalis,13.4,1
-12,139,1975-08-01T00:00:00Z,Calanoid,Temora discaudata,1.7,1
-12,139,1975-08-01T00:00:00Z,Calanoid,Temora turbinata,1.1,1
-12,139,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus asiaticus,10.3,1
-12,139,1975-08-01T00:00:00Z,Poecilostomatoida,Onychocorycaeus catus,3.4,1
-12,139,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus dahli,1.7,1
-12,139,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus lubbocki,0.6,1
-12,139,1975-08-01T00:00:00Z,Calanoid,Clausocalanus furcatus,5.7,1
-12,139,1975-08-01T00:00:00Z,Calanoid,Clausocalanus minor,10.3,1
-12,139,1975-08-01T00:00:00Z,Poecilostomatoida,Copilia mirabilis,1.1,1
-12,139,1975-08-01T00:00:00Z,Calanoid,Nannocalanus minor,1.7,1
-12,139,1975-08-01T00:00:00Z,Calanoid,Calocalanus pavo,1.7,1
-12,139,1975-08-01T00:00:00Z,Calanoid,Candacia catula,0.6,1
-12,139,1975-08-01T00:00:00Z,Calanoid,Canthocalanus pauper,18.3,1
-12,139,1975-08-01T00:00:00Z,Calanoid,Acrocalanus gibber,24,1
-12,139,1975-08-01T00:00:00Z,Calanoid,Acrocalanus longicornis,34.9,1
-12,139,1975-08-01T00:00:00Z,Calanoid,Brachycalanus rothlisbergi,0.6,1
-12,139,1975-08-01T00:00:00Z,Poecilostomatoida,Oncaea media complex,105.7,1
-12,139,1975-08-01T00:00:00Z,Poecilostomatoida,Oncaea venusta complex,14.3,1
-12,139,1975-08-01T00:00:00Z,Calanoid,Paracalanus aculeatus,25.8,1
-12,139,1975-08-01T00:00:00Z,Calanoid,Paracalanus denudatus,19.4,1
-12,139,1975-08-01T00:00:00Z,Cyclopoid,Oithona attenuata typical,1.1,1
-12,139,1975-08-01T00:00:00Z,Cyclopoid,Oithona plumifera,45.1,1
-12,139,1975-08-01T00:00:00Z,Poecilostomatoida,Oncaea clevei complex,16.6,1
-12,139,1975-08-01T00:00:00Z,Poecilostomatoida,Farranula gibbula,4.8,1
-12,139,1975-08-01T00:00:00Z,Calanoid,Labidocera dakini,0.6,1
-12,139,1975-08-01T00:00:00Z,Harpacticoid,Macrosetella gracilis,2.3,1
-12,139,1975-08-01T00:00:00Z,Poecilostomatoida,Onychocorycaeus pacificus,1.7,1
-12,139,1975-08-01T00:00:00Z,Calanoid,Subeucalanus crassus,4,1
-12,139,1975-08-01T00:00:00Z,Calanoid,Subeucalanus mucronatus,0.6,1
-12,139,1975-08-01T00:00:00Z,Harpacticoid,Euterpina acutifrons,22.9,1
-12,140,1975-08-01T00:00:00Z,Calanoid,Scolecithricella orientalis,7.5,1
-12,140,1975-08-01T00:00:00Z,Calanoid,Temora discaudata,0.5,1
-12,140,1975-08-01T00:00:00Z,Calanoid,Temora turbinata,2,1
-12,140,1975-08-01T00:00:00Z,Poecilostomatoida,Onychocorycaeus catus,2,1
-12,140,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus dahli,1,1
-12,140,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus erythraeus,0.5,1
